Comment,Description,Designator,Quantity,Man. Part Number

"27uF","CAP CER 1000PF 50V 5% X7R 0603","C1","1",""
"1uF","CAP CER 1000PF 50V 5% X7R 0603","C2","1",""
"2.2uF","CAP CER 1000PF 50V 5% X7R 0603","C3, C8","2",""
"0.1uF","Capacitor; ECWU, SMD, Stacked Met PEN Film Cap, 100VDC, 0.10uF, 10%, 2416 T&R","C4, C5","2",""
"0.1uF","CAP CER 1000PF 50V 5% X7R 0603","C6","1",""
"PMEG3010ER,115","PMEG3010ER Series 30 V 1 A SMT MEGA Schottky Barrier Rectifier - SOD-123W","D1, D2, D4, D5","4",""
"SML-010LTT86","ROHM SML-010LTT86, SML-01 Series Red LED, 3020(1208), Rectangle Lens SMD package","D3","1",""
"TE Connectivity 640456-3","Header, Friction Lock; MTA-100; 3; 250 VAC; Polyester; Tin; Copper Alloy; Tin","J1, J2 FAN, J3 FAN, J4 Sensor","4",""
"Vishay NTCLE100E3103HB0","Thermistor NTC 10K Ohm 3% 2-Pin Radial 3977K -4.5 to -4 Bulk 2.54mm 0.100""","NTC","1",""
"Lumex SML-LXT0805GW-TR","SML-LXT0805GW-TR Green LED, 565 nm 0805Diffused, Rectangle Lens SMD package","ON1","1",""
"STN4NF06L","N-channel 60 V, 0.07 O, 4 A SOT-223 STripFET™ II Power MOSFET","Q1","1",""
"1kR","Thick Film Resistors - SMD 0805 825ohms 1% Tol","R1","1",""
"56k","Thick Film Resistors - SMD 0805 62Kohms 1% Tol","R2, R5","2",""
"Panasonic ERJ-6ENF33000V","Thick Film Resistors - SMD 0805 3.3kohms 1% Tol","R3","1",""
"180","Thick Film Resistors - SMD 0805 976Kohms 1% Tolerance","R4","1",""
"10k","Thick Film Resistors - SMD 0805 976Kohms 1% Tolerance","R6","1",""
"5.6K","Thick Film Resistors - SMD 0402 13Kohms 5% Tol","R7","1",""
"39.2K","Thick Film Resistors - SMD 0402 13Kohms 5% Tol","R8","1",""
"10K","Thick Film Resistors - SMD 0402 13Kohms 5% Tol","R9, R12","2",""
"100k","Thick Film Resistors - SMD 0402 13Kohms 5% Tol","R10","1",""
"14k","Thick Film Resistors - SMD 0402 13Kohms 5% Tol","R11","1",""
"TE Connectivity / Alcoswitch FSMRA2JH","Black Button Tactile Switch, SPST 50 mA@ 24 V dc 1.24mm","SB1","1",""
"Keystone 5004","Keystone 5004","TP1 +24V, TP2 +5V, TP4","3",""
"Keystone Electronics 5002","KEYSTONE   5002   Series:-","TP5 PWM","1",""
"MIC502","FAN MANAGMENT IC","U1","1",""
"Diodes Inc. AP7381-50Y-13","LDO Regulator Pos 5V 0.15A 4-Pin(3+Tab) SOT-89 T/R","U2","1",""
"ad8609","Precision Micropower, Low Noise CMOS, Rail-to-Rail Input/Output Operational
Amplifiers","U3","1",""
